albanie,albania
grand,magnifico
colorful,colorido
may,mayo
flag,bandera
traveling,viajando
lines,lineas
tram,tranvia
geometry,geometria
wall,pared
vintage,vendimia
shadows,sombras
eastern,oriental
travels,viajes
love,amor
wide,ancho
danube,danubio
structure,estructura
fun,diversion
book,libro
weather,clima
food,alimento
moon,luna
stone,piedra
door,puerta
roofs,techos
holidays,vacaciones
scenery,escenario
high,alta
bike,bicicleta
cielo,cielo
dawn,amanecer
concrete,concreto
music,musica
subway,subte
brussel,bruselas
mark,marca
postcard,tarjetapostal
images,imagenes
perspective,perspectiva
contrast,contraste
november,noviembre
composition,composicion
heritage,patrimonio
mosque,mezquita
garden,jardin
harbor,puerto
wallpaper,wallpaper
lake,lago
detail,detalle
european,europeo
outdoors,airelibre
culture,cultura
lens,lente
collection,coleccion
april,abril
fuji,fuji
parlamento,parlamento
work,trabajo
gate,porton
shot,disparo
priest,sacerdote
concert,concierto
dome,domo
shopping,compra
travelling,deviaje
storm,tormenta
famous,famoso
facade,fachada
pictures,imagenes
walk,caminar
office,oficina
writing,escritura
raw,crudo
autobus,autobus
voyage,viajes
ice,hielo
french,frances
market,mercado
visit,visita
pyrenees,pirineos
december,diciembre
pink,rosa
explored,explorado
hall,sala
silhouette,contorno
walking,caminando
rue,ruda
above,arriba
waterfront,costa
arch,arco
historical,historico
country,pais
ocean,oceano
fog,niebla
horizon,horizonte
contemporary,contemporaneo
outside,fuera
reading,lectura
ship,barco
speed,velocidad
illuminated,iluminados
tripod,tripode
grass,hierba
fall,caida
clock,reloj
family,familia
pont,punto
fountain,fuente
alpha,alfa
landscapes,aisaje
cityscapes,paisajesurbanos
poverty,pobreza
angle,angulo
transport,transporte
missionary,misionero
golden,dorado
fantastic,fantastico
girls,niñas
letter,carta
capitol,capitolio
parish,parroquia
facts,hechos
purple,purpura
apostles,apostol
father,padre
parishes,parroquias
vote,voto
shop,tienda
readings,lecturas
mount,montar
apartment,apartamento
darkness,oscuridad
bible,biblia
avenue,avenida
gospels,evangelios
sunny,soleado
gospel,evangelio
apostle,apostol
peoples,personas
diocese,diocesis
diocesi,dioces
religion,religion
range,rango
sightseeing,turismo
line,linea
communist,comunista
monumento,monumento
escritura,escritura
capture,capturar
diocesis,diocesis
letters,letras
bicycle,bicicleta
pavement,pavimento
creative,creativo
adventure,aventura
texture,textura
geometric,geometria
christian,cristiano
destination,destino
hill,colina
march,marzo
aerial,antena
parliament,parlamento
underground,subterraneo
party,fiesta
scene,escena
bank,banco
fashion,moda
bay,bahia
ruins,ruinas
sunshine,luzdesol
war,guerra
abstract,resumen
illumination,iluminacion
towers,torres
rooftop,azotea
rebel,rebelde
metropolis,metropolis
public,publico
style,estilo
wonderful,maravilloso
block,bloque
russian,ruso
exploration,exploracion
edifice,edificio
great,genial
tunnel,tunel
sundown,puestadesol
library,biblioteca
fortress,fortaleza
over,fuera
palacio,palacio
ceiling,techo
glow,brillo
dog,perro
wedding,boda
torreeiffel,torreeiffel
fotografie,fotografia
afternoon,tarde
seascape,marina
scan,explorar
photojournalism,periodismo
cascade,cascada
attraction,atraccion
show,mostrar
august,agosto
britain,britanico
children,niños
soldier,soldado
alps,alpes
blanc,blanco
saint,san
carlo,carlo
mausoleum,mausoleo
south,sur
steel,acero
acropolis,acropolis
topaz,topacio
abandoned,abandonado
harpa,arpa
places,lugares
dynamic,dinamico
suisse,suizo
greek,griego
dom,palmera
fisheye,ojodepez
air,aire
piazza,plaza
photographer,fotografo
cool,fresco
interestingness,flickr
sunlight,luzsolar
sign,firmar
birds,aves
crane,grua
romanian,rumano
pirineos,prineos
business,negocio
waterscape,acuatico
airport,aeropuerto
escultura,escultura
colores,colores
mist,niebla
rail,carril
grey,gris
roman,romano
boy,chico
cemetery,cementerio
big,grande
reflejos,reflejos
papa,papa
lamp,lampara
july,julio
gora,montaña
futuristic,futurista
national,nacional
state,estado
peter,pedro
friends,amigos
bilder,fotos
men,hombres
rocks,rocas
norwegian,noruego
luxury,lujo
location,ubicacion
royal,real
architectural,arquitectonico
journey,viaje
rom,habitacion
brown,marron
reportage,reportaje
year,año
space,espacio
churches,iglesias
symmetry,simetria
district,distrito
artist,artista
sport,deporte
reflex,reflejo
christiania,cristiania
stars,estrellas
flats,pisos
coastline,litoral
buses,autobuses
guards,guardias
walls,paredes
gold,oro
pretty,bonito
visiting,visita
bronze,bronce
restaurant,restaurante
brick,ladrillo
decoration,decoracion
flags,banderas
wonderland,mundo
landmarks,referencia
land,tierra
turkish,turco
magic,magico
jump,salto
bird,pajaro
canals,canales
bridges,puentes
ships,barcos
kiss,besos
touring,turismo
ulus,nacion
gallery,galeria
painting,pintura
ottoman,otomano
notturno,noche
gray,gris
stunning,maravilloso
site,area
parthenon,partenon
point,punto
village,aldea
gardens,jardines
blur,difuminar
army,ejercito
free,gratis
earth,tierra
analogue,analogico
bleu,azul
nocturnal,nocturno
conference,conferencia
blume,flor
metropolitan,metropolitana
hills,colinas
east,este
background,fondo
lamps,lamparas
chypre,chipre
mirror,espejo
football,futbol
yacht,yate
uniform,uniforme
voiture,coche
sunday,domingo
british,britanico
frame,marco
titano,titan
theatre,teatro
professional,profesional
rooftops,tejados
apartments,apartamentos
tube,tubo
iconic,iconico
time,tiempo
curve,curva
religious,religioso
movement,movimiento
palais,palacio
dream,sueño
september,septiembre
highway,autopista
sidewalk,acera
paint,pintar
store,almacenar
paysage,paisaje
monastery,monasterio
alexander,alejandro
fire,fuego
look,mirada
nordic,nordico
hiver,invierno
apple,manzana
cruise,crucero
perfect,perfecto
university,universidad
berliner,berlines
special,especial
depressing,deprimente
pattern,patron
gothic,gotico
roses,rosas
press,prensa
daylight,luzdeldia
column,columna
irish,irlandes
ghost,fantasma
closeup,cerce
christ,cristo
thunder,trueno
kids,niños
military,militar
lithuanian,lituano
microstate,microestado
jumping,salto
silver,plata
embankment,protector
filter,filtro
stadium,estadio
hand,mano
multiple,multiple
hungarian,hungaro
baltico,baltico
soe,soe
way,camino
fireworks,fuegosartificiales
sight,vision
georgian,georgiano
focus,foco
entrance,entrada
pond,estanque
tilt,inclinacion
monuments,monumento
sandstone,arenisca
unbelievable,increible
staircase,escalera
lonely,solitario
motion,movimiento
modernism,modernismo
bleak,desolado
eyes,ojos
comunista,comunista
serb,serbio
zoo,zoo
wood,madera
viewpoint,puntodevista
wonder,maravillado
graveyard,cementerio
theater,teatro
trains,trenes
money,dinero
germania,alemania
christianity,cristianismo
october,octubre
trips,excursiones
scanner,escaner
scanned,escaneado
symbol,simbolo
omnibus,autobus
sand,arena
tracks,pistas
airplane,avion
plant,planta
playing,jugando
good,bueno
horse,caballo
scandinavian,escandinavo
pedestrian,peaton
bench,banco
frozen,congelado
serbios,serbios
format,formato
parade,desfile
crucero,crucero
temple,templo
cypriot,chipre
nighttime,noche
rainy,lluvioso
artistic,artistico
cobblestone,guijarro
sicily,sicilia
trail,sendero
february,febrero
scenic,escenico
vacations,vacaciones
birthday,cumpleaños
north,norte
panoramica,panoramica
rouge,rojo
communism,comunismo
noir,negro
grad,ciudad
statues,estatua
colosseum,coliseo
home,inicio
shrub,arbusto
female,mujeres
pic,foto
balcony,balcon
june,junio
stad,ciudad
protest,protesta
railing,baranda
tank,tanque
vinter,invierno
haze,neblina
negative,negativo
warm,calido
wind,viento
nocturne,nocturno
exposures,riesgos
doors,puertas
coast,costa
ears,oidos
beer,cerveza
child,hijo
pyramid,piramide
antique,antiguo
coastal,costero
pest,peste
analogic,analogico
spire,aguja
processing,tratamiento
transportation,transporte
muslim,musulman
shift,cambio
graphic,grafico
cat,gato
photojournalist,reporterografico
soleil,sol
midnight,medianoche
views,vistas
january,enero
municipality,municipio
icon,icono
licht,luz
bright,brillante
airlines,aerolineas
polish,polaco
rose,rosa
railroad,ferrocarril
gare,estacion
kittens,gatitos
matka,madre
foster,fomentar
wild,salvaje
search,busqueda
pics,fotos
silhouettes,siluetas
international,internacional
eye,ojo
male,masculino
lighting,iluminacion
maltese,maltes
cupola,cupula
lantern,linterna
eole,salto
crop,cultivo
danish,danes
nights,noches
maison,casa
ruin,ruina
see,ver
iron,hierro
canale,canal
aircraft,aeronave
sweet,dulce
riverside,orilla
pantheon,panteon
mystic,mistico
moment,momento
person,persona
cup,copa
alpen,alpes
scape,fuga
pen,lapicera
wildlife,fauna
jewish,judio
stones,piedras
ass,fondo
commercial,comercial
vehicle,vehiculo
forest,bosque
blocks,bloques
decay,decaer
guard,guardia
books,libros
motorcycle,moto
photograph,fotografo
catholic,catolico
tall,alto
snapshot,instantanea
indoor,interior
police,policia
platform,plataforma
rangefinder,telemetro
cross,cruz
kale,otro
effect,efecto
spree,excursion
residential,residencial
hair,cabello
freedom,libre
tomb,tumba
documentary,documental
boot,bota
star,estrella
rise,altura
railways,ferrocarril
vase,florero
school,escuela
elegant,elegante
rusty,oxidado
colourful,atractivo
orthodoxy,ortodoxia
holy,santo
award,premio
excellent,excelente
shoot,disparo
decorative,decorativo
capitalism,capitalismo
japan,japon
fragment,fragmento
luce,luz
fantasy,fantasia
tor,colina
kid,niño
escalator,escalera
tiles,azulejos
lumina,luz
future,futuro
natura,naturaleza
lovely,precioso
aviation,aviacion
motorist,automovilista
wheel,rueda
waterfall,cascada
steps,paso
portuguese,portugues
crowd,multitud
offices,oficinas
berg,montaña
classic,clasico
test,prueba
phoenix,fenix
coach,tecnico
passage,pasaje
federation,federacion
round,ronda
olympic,olimpico
streetcar,tranvia
filme,pelicula
live,vida
fly,mosca
figure,figura
islamic,islamico
centrum,centro
truck,camion
typical,tipico
domes,domos
one,uno
fast,rapido
airbus,aerobus
montage,montaje
german,aleman
stair,escalera
xmas,navidad
athenaeum,ateneo
overview,vision
arts,letras
west,oeste
reflet,reflexion
residence,residencia
lux,lujo
execution,ejecucion
airways,aire
paints,pinturas
wolf,lobo
workshop,taller
valley,valle
rust,paz
cinema,cine
heaven,cielo
adjust,ajustar
locomotive,locomotora
fence,cerca
louvre,lumbrera
emotions,emociones
action,accion
flat,plano
marble,marmol
creature,criatura
countryside,campo
plane,avion
atheneum,ateneo
gum,chicle
blossom,flor
rails,carriles
trails,caminos
architect,arquitecto
mobile,movil
arc,arco
suede,gamuza
empty,vacip
socialist,socialista
funny,gracioso
shape,forma
couple,pareja
wards,salas
stream,corriente
women,mujer
imaging,imagenes
united,unido
cristal,cristal
telephoto,telefotografico
nobody,nadie
curves,curvas
border,frontera
face,cara
biker,motorista
vignettes,viñetas
nightlife,vidanocturna
courtyard,patio
trinity,trinidad
painter,pintor
dam,presa
patterns,patrones
drawing,dibujo
government,gobierno
spiral,espiral
eau,agua
education,educacion
details,detalles
ecclesia,iglesia
raining,lloviendo
pride,orgullo
loneliness,soledad
croatian,croata
selected,seleccionado
hero,heroe
path,camino
celebration,celebracion
leaves,hojas
mausoleo,monumento
training,formacion
rights,derechos
sharp,agudo
flare,llamarada
things,cosas
first,primero
wine,vino
exotic,exotico
cheese,queso
effects,efectos
side,lado
syntagma,constitucion
god,dios
masterpiece,obramaestra
mammal,mamifero
kit,equipo
convent,convento
longue,largo
tangle,enredo
elevator,ascensor
distance,distancia
project,proyecto
portraits,retratos
yachts,yates
cinematic,cinematografico
snowscape,paisajenevado
bush,arbusto
rich,rico
countries,paises
scrap,chatarra
olympics,olimpicos
warrior,guerrero
cobble,adoquin
chill,frio
balance,equilibrar
appartement,apartamento
dildo,hermoso
human,humano
disegno,diseño
viking,vikingo
palazzo,palacio
dreamy,soñador
county,registro
seaside,playa
alice,alicia
musique,musica
neve,nieve
daytime,dia
exposition,exposicion
burg,prision
pose,actitud
illustration,ilustracion
benches,bancos
down,abajo
head,cabeza
shyish,arquitectura
back,atras
mural,mural
floor,piso
scharf,brusco
chair,silla
puddle,charco
environment,ambiente
impressive,impresionante
steeple,campanario
ferocious,feroz
temples,templos
box,caja
stormy,tormentoso
bor,vivir
principality,principal
canid,canido
breathtaking,asombroso
sports,deportes
superaward,premio
patrones,patrones
rays,rayos
tramway,tranvia
floral,floral
wolves,lobos
cute,linda
barandilla,barandilla
tulip,tulipan
campanile,campanario
advent,llegada
factory,fabrica
macedon,macedonia
after,despues
romani,romano
romano,romano
turm,torre
flying,volador
arco,arco
carousel,carrusel
quay,muelle
season,temporada
butt,extremo
alley,callejon
spectacle,espectaculo
butterfly,mariposa
miniature,miniatura
longtime,largotiempo
fille,chica
trottoir,acera
tent,tienda
blurred,borroso
college,universidad
parking,estacionamiento
geometria,geometria
patrons,clientes
nightfall,anochecer
mare,grandioso
calligraphy,caligrafia
helicoidal,helicoidal
swiss,suizo
tradition,tradicion
scholarship,beca
death,muerte
bricks,ladrillos
skies,cielo
kingdom,reino
tits,paisaje
lightning,relampago
industry,industria
reflexion,reflexion
homeless,sinhogar
walkway,pasarela
romantic,romantico
sadness,tristeza
tones,tonos
cream,crema
moonlight,luzluna
field,campo
houseboat,casaflotante
oras,oras
raphael,frafael
alt,todo
opportunities,oportunidades
smile,sonreir
sitting,sentado
sant,santo
fleur,floral
racing,carrera
huis,casa
exposicion,exposicion
two,dos
bulgarian,bulgaro
particular,especial
franca,franca
mall,paseo
species,especies
agora,ahora
waves,olas
bloom,florecer
surrealism,surrealismo
urbanization,urbanizacion
porta,puerta
energy,energia
print,impresion
spiritual,espiritual
traveler,viajero
jet,chorro
cartoon,dibujosanimados
checkpoint,control
bride,novia
polarizer,polarizador
built,construido
self,yo
cave,cueva
build,construir
electric,electrico
thomas,tomas
provincia,provincia
justice,justicia
abend,noche
sights,monumentos
movie,pelicula
interface,interfaz
density,densidad
bell,campana
simple,sencillo
spotting,punteo
suburbs,afueras
plants,plantas
socialism,socialismo
lie,mentira
cement,cemento
easter,lejano
shapes,figura
faith,fe
repair,reparar
engineering,ingenieria
peace,paz
obelisk,obelisco
bianco,blanco
pedestrians,peatones
age,años
windy,ventoso
swedish,sueco
unusual,raro
race,carrera
rivers,rios
estonian,estonio
silueta,silueta
leg,pierna
cyclist,ciclista
from,desde
belgian,belga
babe,bebe
posing,posando
lock,bloquear
intelligent,inteligente
farm,granja
thunderstorm,tormenta
linee,lineas
costume,disfraz
fete,fiesta
morgen,mañana
dock,muelle
hands,manos
saut,salto
tranvia,tranvia
slide,paisaje
depression,depresion
umbrella,paraguas
zoological,zoologico
destinations,destinos
banque,banco
tourists,turistas
manipulation,manipulacion
lion,leon
bee,abeja
stuff,cosas
monochromatic,monocromo
montagne,montaje
canine,canino
violet,violeta
superb,magnifico
closed,cerrado
hamburg,hamburgo
homes,casas
surface,superficie
strange,extraño
drink,beber
dust,polvo
palaces,palacios
ads,anuncios
add,añadir
mythology,mitologia
lost,perdido
ruinas,ruinas
italian,italiano
leaf,hoja
artifacts,artefactos
buy,comprar
incredible,increible
schloss,bloquear
limited,limitado
four,cuatro
cruising,crucero
geology,geologia
chapel,capilla
beam,haz
commons,comunes
carnivore,carnivoro
nigh,cerca
feathers,plumas
fingers,dedos
menschen,personas
textured,textura
greenery,verde
smoke,fumar
chateau,castillo
pack,paquete
feelings,sentimientos
soldat,soldado
atrium,atrio
symphony,sinfonia
calm,calma
megalopolis,megalopolis
reflets,reflexion
room,habitacion
defile,desfile
mess,lio
lac,laca
parallel,paralela
purchase,compra
scout,explorar
coffee,cafe
seafoam,espuma
band,banda
musulmana,musulmana
backgrounds,antecedentes
group,grupo
esqueleto,esqueleto
independence,independencia
springtime,primavera
lollipop,chupete
clothes,ropa
attractions,atracciones
blossoms,flores
cite,citar
fabulous,fabuloso
mind,mente
seminar,seminario
ray,rayo
jean,vaquero
observation,observacion
pope,papa
random,aleatorio
hazy,brumoso
thirds,tercios
sugar,azucar
couleur,color
boathouse,cobertizo
botanical,botanico
fields,campos
brazil,brasil
symmetric,simetrico
mug,jarra
conceptual,conceptual
caves,cuevas
travellers,viajeros
parisien,parisino
against,contra
candados,candados
studio,estudio
legs,piernas
canyon,cañon
blending,mezcla
majestic,majestuoso
blonde,rubia
three,tres
tallest,alto
clarity,claridad
locations,ubicaciones
craft,arte
neat,ordenado
stella,estrella
waterworks,abastecimiento
voyages,viajes
leger,ejercito
suburb,suburbio
nit,noche
cycle,ciclo
unemployment,desempleo
romanesque,romanico
norsk,noruego
municipal,municipal
amarillo,amarillo
natal,natal
unten,debajo
filming,rodaje
trophy,trofeo
pintadas,pintadas
dinner,cena
islands,islas
civic,civico
honeymoon,lunademiel
carving,tallado
weathered,aguantar
tennis,tenis
quote,citar
happy,contento
snowy,nevado
inside,dentro
cosmos,cosmos
prayer,oracion
floating,flotante
setting,ajuste
muslime,musulmanes
models,modelos
amusement,diversion
dance,baile
viaduct,viaducto
layers,capas
bicycles,bicicletas
artwork,obra
guy,chico
revolution,revolucion
discover,descubrir
soldiers,soldados
foliage,follaje
boten,barcos
alone,solo
hiking,excursionismo
italians,italianos
seashore,costa
hotels,hoteles
wealth,riqueza
headstone,lapida
vineyard,viñedo
memory,memoria
olive,aceituna
walled,amurallado
ferry,balsa
dodge,esquivar
vidriera,vidriera
council,consejo
pine,pino
tile,azulejo
map,mapa
portfolio,portafolio
padlocks,candados
nepalese,nepales
shield,proteger
heraldic,heraldico
pelicula,pelicula
still,todavia
mail,correo
halo,aureola
persian,persa
kapelle,capilla
looking,mirando
squares,cuadricula
card,tarjeta
bassi,bajo
nove,nuevo
romanic,romantico
carro,carro
convention,convencion
structures,estructuras
population,poblacion
television,television
sailing,navegacion
bastions,bastiones
protected,protegido
angel,angel
seal,sello
medium,medio
naturaleza,naturaleza
snout,hocico
endangered,peligro
channel,canal
normal,normal
track,pista
contrasts,contrastes
bateau,barco
accessorize,personalizar
corner,esquina
internacional,internacional
explosion,explosion
balconies,balcones
stroll,paseo
vision,vision
learn,aprender
crystal,cristal
infrastructure,infraestructura
lampadaire,lampara
supermarket,supermercado
domy,casas
regret,lamentar
installation,instalacion
quiet,tranquilo
concierto,concierto
expression,expresion
backpack,mochila
cycling,ciclismo
tuning,sintonizacion
mars,marte
case,caso
single,soltero
handicapped,minusvalido
shops,tiendas
soil,suelo
middle,medio
media,comunicacion
running,corriendo
bottle,botella
model,modelo
rest,descanso
airfield,aerodromo
warehouse,almacen
lady,dama
integrale,integral
nose,nariz
mood,estado
cobblestones,adoquines
memories,recuerdos
luci,luces
escalier,escalera
stare,estado
peatonal,peatonal
handsome,hermoso
dirty,sucio
castles,castillos
imagination,imaginacion
tranquil,tranquilo
bishop,obispo
rosen,rosen
rubber,caucho
capitel,capital
cores,colores
suburban,suburbano
graphics,graficos
verd,verde
strand,playa
large,grande
grabs,juego
multinational,multinacional
selective,selectivo
directions,instrucciones
legend,leyenda
teeth,dientes
advertising,publicidad
solitude,soledad
birding,aves
armen,pobre
atina,ateniense
select,seleccionar
aperture,abertura
stich,puntada
shard,casco
dress,vestido
painterly,pictorica
court,tribunal
backpacking,mochila
sacred,sagrado
simplicity,sencillez
notre,nuestro
telemetrica,telemetrico
festa,partido
shore,orilla
shade,sombra
geographic,geografico
wiener,viena
talking,hablando
soccer,futbol
largest,grande
deda,abuelo
trolleybus,trolebus
event,evento
robert,roberto
pigeon,paloma
seaport,puertomaritimo
paradise,paraiso
dehors,fuera
team,equipo
story,historia
pleasant,agradable
beginning,principio
nightclubs,discotecas
copper,cobre
advertisement,anuncio
feel,sentir
feet,pies
florist,florista
whale,ballena
automobile,automovil
jetty,embarcadero
parc,parque
king,rey
farming,agricultura
states,estados
rower,bicicleta
squirting,chorros
serene,sereno
headstones,lapidas
fresco,fresco
promenade,paseos
traditional,tradicional
poles,polos
circle,circulo
reportaje,informes
columns,columnas
dandelion,leon
flowing,corriente
observatory,observatorio
silk,seda
egipto,egipcio
canali,canales
muted,apagado
crema,crema
emirates,emiratos
sole,sol
natale,natal
spoor,pista
dancer,bailarin
frosty,escarchado
vessel,buque
stamp,sello
dub,doblar
gay,homosexual
gap,brecha
caisse,fondo
abends,tarde
fur,piel
holocaust,holocausto
biking,ciclismo
century,siglo
baseline,base
development,desarrollo
cucumber,pepino
oeuvre,obra
edge,borde
secession,secesion
pyrotechnic,pirotecnico
praying,orar
lit,noche
icelandic,islandes
workers,trabajadores
exhibition,exposicion
flotante,flotante
emergency,emergencia
wings,alas
pillar,pilar
pierre,piedra
civilization,civilizacion
bateaux,barcos
minimal,minimo
run,correr
squirrel,ardilla
ufo,ovni
alleyway,callejon
pollution,contaminacion
summertime,verano
byzantine,bizantino
atlantic,atlantico
planet,planeta
lys,lista
atlantean,atlante
rainbow,arcoiris
composing,composicion
nat,noche
insect,insecto
pottery,ceramica
lane,carril
noon,mediodia
graves,tumbas
young,joven
geranium,geranio
passion,pasion
friendly,amistoso
wave,ola
wavy,ondulado
hive,colmena
basils,albahacas
boots,botas
spaghetti,espaguetis
lense,lente
colline,colinas
experiment,experimento
lutheran,luterano
sink,lavabo
northern,norte
wit,blanco
limo,limusina
composer,compositor
duck,pato
standing,permanente
sketchbook,libro
confederacion,confederacion
pencil,lapiz
ecole,escuela
musician,musico
lifestyle,vida
crosses,cruces
animals,animales
blvd,autopista
sit,sitio
poetry,poesia
tier,nivel
restaurantes,restaurantes
sculptures,esculturas
liner,transatlantico
plats,lugar
front,frente
gara,ciudad
yugo,yugoslavia
winkel,tienda
agriculture,agricultura
explorer,explorador
matrix,matriz
chaos,caos
rei,rio
yard,patio
retail,venta
borealis,paisaje
bouquet,ramo
quality,calidad
unknown,desconocido
decorations,decoraciones
symbiosis,simbiosis
academy,academia
firework,fuegoartificial
appenzell,panorama
areopagus,vista
cranes,gruas
babes,chicas
bonderman,paisaje
atmosphere,atmosfera
bikes,bicicletas
terminal,terminal
local,local
cube,cuba
bear,oso
pilis,castillo
community,comunidad
luminosity,luminosidad
lut,noche
junkies,adictos
sorrow,dolor
monarchy,monarquia
doorway,puerta
snowfall,nevada
individuation,individuacion
table,mesa
ecclesiastical,dia
circus,circo
smoking,fumar
stalin,palacio
grece,griego
vignetting,viñedo
finestra,ventana
balloon,globo
funfair,atracciones
ball,bola
beast,bestia
paving,pavimentacion
off,apagado
well,bien
english,ingles
camel,camello
otono,otoño
distant,distante
fishing,pesca
rapid,rapido
musulman,musulman
transparent,transparente
myth,mito
republics,republicas
pier,muelle
loss,perdida
chairs,sillas
journalism,periodismo
debar,cultura
solitaria,solitaria
classical,clasico
urbanity,urbanidad
est,este
archeology,arqueologia
blurry,borroso
residences,residencias
kitsch,blancoynegro
consumerism,consumismo
rare,raro
carrier,portador
swimming,nadando
luminosidad,luminosidad
vegetables,verduras
inner,interior
coke,coca
feucht,humedo
wise,prudente
smooth,suave
below,debajo
thorn,espina
other,otro
nepali,nepali
